year,job_category,salary_in_usd,country,experience_level,work_setting,general_average_salary
2023,Data Science and Research,212000,United States,Senior,In-person,95100.0
2023,Data Science and Research,93300,United States,Senior,In-person,95100.0
2023,Data Science and Research,130000,United States,Senior,Remote,95100.0
2023,Data Science and Research,100000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,224400,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,138700,United States,Mid-level,In-person,95100.0
2023,Data Engineering,210000,United States,Executive,Remote,95100.0
2023,Data Engineering,168000,United States,Executive,Remote,95100.0
2023,Machine Learning and AI,224400,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,138700,United States,Senior,In-person,95100.0
2023,Data Analysis,95000,United States,Entry-level,In-person,95100.0
2023,Data Analysis,75000,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,300000,United States,Senior,In-person,95100.0
2023,Data Science and Research,234000,United States,Senior,In-person,95100.0
2023,Leadership and Management,140000,United States,Mid-level,In-person,95100.0
2023,Leadership and Management,120000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,204500,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,142200,United States,Mid-level,In-person,95100.0
2023,Data Analysis,155000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,110000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,266500,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,152000,United States,Senior,In-person,95100.0
2023,Data Science and Research,222200,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,136000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,273400,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,182200,United States,Senior,In-person,95100.0
2023,BI and Visualization,167500,United States,Senior,In-person,95100.0
2023,BI and Visualization,106500,United States,Senior,In-person,95100.0
2023,Data Engineering,185900,United States,Senior,In-person,95100.0
2023,Data Engineering,129300,United States,Senior,In-person,95100.0
2023,BI and Visualization,185000,United States,Mid-level,In-person,95100.0
2023,BI and Visualization,79600,United States,Mid-level,In-person,95100.0
2023,Data Engineering,122000,United States,Senior,In-person,95100.0
2023,Data Engineering,94500,United States,Senior,In-person,95100.0
2023,Data Engineering,247300,United States,Senior,In-person,95100.0
2023,Data Engineering,139700,United States,Senior,In-person,95100.0
2023,Data Analysis,176000,United States,Senior,In-person,95100.0
2023,Data Analysis,100000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,204500,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,142200,United States,Senior,In-person,95100.0
2023,Data Science and Research,247600,United States,Senior,In-person,95100.0
2023,Data Science and Research,127300,United States,Senior,In-person,95100.0
2023,Data Science and Research,223400,United States,Senior,Remote,95100.0
2023,Data Science and Research,186200,United States,Senior,Remote,95100.0
2023,Data Engineering,167500,United States,Senior,In-person,95100.0
2023,Data Engineering,106500,United States,Senior,In-person,95100.0
2023,Data Science and Research,185900,United States,Senior,In-person,95100.0
2023,Data Science and Research,129300,United States,Senior,In-person,95100.0
2023,Data Science and Research,72000,United States,Entry-level,Remote,95100.0
2023,Data Science and Research,64000,United States,Entry-level,Remote,95100.0
2023,Leadership and Management,179820,United States,Senior,In-person,95100.0
2023,Leadership and Management,143860,United States,Senior,In-person,95100.0
2023,Data Science and Research,283050,United States,Senior,In-person,95100.0
2023,Data Science and Research,188700,United States,Senior,In-person,95100.0
2023,Data Engineering,133000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,58400,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,141298,United States,Senior,In-person,95100.0
2023,Data Science and Research,115607,United States,Senior,In-person,95100.0
2023,Data Analysis,100000,United States,Entry-level,In-person,95100.0
2023,Data Analysis,75000,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,287500,United States,Senior,In-person,95100.0
2023,Data Science and Research,156000,United States,Senior,In-person,95100.0
2023,Data Analysis,90000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,70000,United States,Mid-level,Remote,95100.0
2023,Data Engineering,199000,United States,Senior,In-person,95100.0
2023,Data Engineering,162000,United States,Senior,In-person,95100.0
2023,Data Engineering,170884,United States,Mid-level,Remote,95100.0
2023,Data Engineering,113923,United States,Mid-level,Remote,95100.0
2023,Data Engineering,184000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,123000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,235750,United States,Senior,In-person,95100.0
2023,Data Science and Research,174250,United States,Senior,In-person,95100.0
2023,Data Science and Research,165000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,118800,United States,Mid-level,Remote,95100.0
2023,Data Engineering,225000,United States,Senior,Remote,95100.0
2023,Data Engineering,150000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,213900,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,116800,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,220000,United States,Senior,Remote,95100.0
2023,Data Science and Research,150000,United States,Senior,Remote,95100.0
2023,Data Science and Research,150000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,100000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,247500,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,172200,United States,Mid-level,In-person,95100.0
2023,Data Engineering,155000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,120000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,226700,United States,Senior,In-person,95100.0
2023,Data Engineering,133300,United States,Senior,In-person,95100.0
2023,Data Engineering,184000,United States,Senior,In-person,95100.0
2023,Data Engineering,123000,United States,Senior,In-person,95100.0
2023,Data Science and Research,130000,United States,Senior,In-person,95100.0
2023,Data Science and Research,117000,United States,Senior,In-person,95100.0
2023,Data Science and Research,160000,United States,Senior,Remote,95100.0
2023,Data Science and Research,140000,United States,Senior,Remote,95100.0
2023,Data Science and Research,166000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,73000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,185900,United States,Senior,Remote,95100.0
2023,Data Science and Research,129300,United States,Senior,Remote,95100.0
2023,Data Engineering,130000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,104000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,143000,United States,Senior,Remote,95100.0
2023,Data Engineering,116000,United States,Senior,Remote,95100.0
2023,Data Science and Research,165000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,118800,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,220000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,180000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,184000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,123000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,215000,United States,Senior,In-person,95100.0
2023,Data Engineering,200000,United States,Senior,In-person,95100.0
2023,Data Science and Research,253000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,131000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,220000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,176000,United States,Senior,In-person,95100.0
2023,Data Science and Research,210000,United States,Senior,In-person,95100.0
2023,Data Science and Research,147000,United States,Senior,In-person,95100.0
2023,Leadership and Management,186000,United States,Mid-level,In-person,95100.0
2023,Leadership and Management,161000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,205000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,152000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,205000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,152000,United States,Senior,In-person,95100.0
2023,Data Analysis,137000,United States,Senior,Remote,95100.0
2023,Data Analysis,110000,United States,Senior,Remote,95100.0
2023,Data Science and Research,172000,United States,Senior,Remote,95100.0
2023,Data Science and Research,146000,United States,Senior,Remote,95100.0
2023,Data Engineering,148000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,99000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,150000,United States,Senior,In-person,95100.0
2023,Data Science and Research,130000,United States,Senior,In-person,95100.0
2023,Data Analysis,105000,United States,Entry-level,In-person,95100.0
2023,Data Engineering,99000,United States,Senior,In-person,95100.0
2023,Data Engineering,52500,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,180514,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,108308,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,210000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,147000,United States,Senior,In-person,95100.0
2023,Data Engineering,290300,United States,Senior,In-person,95100.0
2023,Data Engineering,196685,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,220000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,176000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,175000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,130000,United States,Mid-level,In-person,95100.0
2023,Data Architecture and Modeling,185000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,150000,United States,Senior,In-person,95100.0
2023,Data Engineering,145000,United States,Senior,In-person,95100.0
2023,Data Engineering,115000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,133000,United States,Entry-level,In-person,95100.0
2023,Machine Learning and AI,58300,United States,Entry-level,In-person,95100.0
2023,Leadership and Management,115000,United States,Senior,In-person,95100.0
2023,Leadership and Management,95000,United States,Senior,In-person,95100.0
2023,Data Engineering,230300,United States,Senior,In-person,95100.0
2023,Data Engineering,140000,United States,Senior,In-person,95100.0
2023,Data Science and Research,224800,United States,Senior,In-person,95100.0
2023,Data Science and Research,131100,United States,Senior,In-person,95100.0
2023,Data Science and Research,258000,United States,Senior,In-person,95100.0
2023,Data Science and Research,171000,United States,Senior,In-person,95100.0
2023,Data Engineering,196000,United States,Senior,In-person,95100.0
2023,Data Engineering,121000,United States,Senior,In-person,95100.0
2023,Data Engineering,195800,United States,Senior,In-person,95100.0
2023,Data Engineering,171500,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,166000,United States,Mid-level,In-person,95100.0
2023,Data Architecture and Modeling,73100,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,220000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,160000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,85000,United States,Entry-level,In-person,95100.0
2023,Data Science and Research,65000,United States,Entry-level,In-person,95100.0
2023,Machine Learning and AI,220000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,100000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,185000,United States,Senior,In-person,95100.0
2023,Data Science and Research,152000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,220000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,100000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,220000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,100000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,220000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,100000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,220000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,100000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,150200,United States,Senior,In-person,95100.0
2023,Data Science and Research,71000,United States,Senior,In-person,95100.0
2023,Data Engineering,167200,United States,Senior,In-person,95100.0
2023,Data Engineering,121000,United States,Senior,In-person,95100.0
2023,Data Engineering,133000,United States,Senior,In-person,95100.0
2023,Data Engineering,58400,United States,Senior,In-person,95100.0
2023,Data Science and Research,135000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,110000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,187415,United States,Senior,In-person,95100.0
2023,Data Science and Research,114080,United States,Senior,In-person,95100.0
2023,Data Science and Research,187415,United States,Senior,In-person,95100.0
2023,Data Science and Research,114080,United States,Senior,In-person,95100.0
2023,Data Engineering,166000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,73100,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,187415,United States,Senior,In-person,95100.0
2023,Data Science and Research,114080,United States,Senior,In-person,95100.0
2023,Data Analysis,165000,United States,Senior,Remote,95100.0
2023,Data Analysis,140000,United States,Senior,Remote,95100.0
2023,Leadership and Management,150000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,167000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,121000,United States,Mid-level,In-person,95100.0
2023,BI and Visualization,185000,United States,Mid-level,In-person,95100.0
2023,BI and Visualization,79600,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,190200,United States,Senior,In-person,95100.0
2023,Data Science and Research,95100,United States,Senior,In-person,95100.0
2023,Data Analysis,133000,United States,Entry-level,In-person,95100.0
2023,Data Analysis,58400,United States,Entry-level,In-person,95100.0
2023,Data Engineering,90000,United States,Mid-level,Remote,95100.0
2023,Data Engineering,70000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,166000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,73100,United States,Mid-level,In-person,95100.0
2023,Data Engineering,135000,United States,Senior,In-person,95100.0
2023,Data Engineering,100000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,294000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,192000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,266000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,167000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,200000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,150000,United States,Senior,Remote,95100.0
2023,Data Analysis,163800,United States,Entry-level,Remote,95100.0
2023,Data Analysis,88200,United States,Entry-level,Remote,95100.0
2023,Data Analysis,180400,United States,Senior,In-person,95100.0
2023,Data Analysis,138800,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,319000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,206000,United States,Senior,Remote,95100.0
2023,Data Science and Research,215000,United States,Senior,In-person,95100.0
2023,Data Science and Research,142000,United States,Senior,In-person,95100.0
2023,Data Science and Research,266000,United States,Senior,In-person,95100.0
2023,Data Science and Research,167000,United States,Senior,In-person,95100.0
2023,Data Analysis,140130,United States,Senior,In-person,95100.0
2023,Data Analysis,84870,United States,Senior,In-person,95100.0
2023,Data Engineering,178300,United States,Mid-level,In-person,95100.0
2023,Data Engineering,105400,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,222200,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,136000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,215000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,142000,United States,Senior,In-person,95100.0
2023,Data Science and Research,240000,United States,Senior,Remote,95100.0
2023,Data Science and Research,210000,United States,Senior,Remote,95100.0
2023,Data Engineering,122000,United States,Senior,In-person,95100.0
2023,Data Engineering,94500,United States,Senior,In-person,95100.0
2023,Data Engineering,150000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,116000,United States,Senior,In-person,95100.0
2023,Data Science and Research,90000,United States,Senior,In-person,95100.0
2023,Data Science and Research,145000,United States,Senior,In-person,95100.0
2023,Data Science and Research,128000,United States,Senior,In-person,95100.0
2023,Data Engineering,154000,United States,Senior,Remote,95100.0
2023,Data Engineering,126000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,240000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,157250,United States,Senior,In-person,95100.0
2023,Data Engineering,219650,United States,Executive,Remote,95100.0
2023,Data Engineering,136000,United States,Executive,Remote,95100.0
2023,Data Science and Research,150000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,180000,United States,Mid-level,Remote,95100.0
2023,Machine Learning and AI,125000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,247600,United States,Senior,In-person,95100.0
2023,Data Science and Research,127300,United States,Senior,In-person,95100.0
2023,Data Science and Research,60000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,55000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,250000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,125000,United States,Mid-level,In-person,95100.0
2023,Machine Learning and AI,190000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,170000,United States,Senior,Remote,95100.0
2023,Data Science and Research,202600,United States,Senior,Remote,95100.0
2023,Data Science and Research,168800,United States,Senior,Remote,95100.0
2023,Data Engineering,132000,United States,Mid-level,Remote,95100.0
2023,Data Engineering,111000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,203000,United States,Senior,Remote,95100.0
2023,Data Science and Research,127000,United States,Senior,Remote,95100.0
2023,BI and Visualization,125009,United States,Mid-level,Remote,95100.0
2023,BI and Visualization,83339,United States,Mid-level,Remote,95100.0
2023,Data Analysis,112200,United States,Senior,Remote,95100.0
2023,Data Analysis,91800,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,200000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,160000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,185000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,150000,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,130000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,145000,United States,Senior,In-person,95100.0
2023,Data Engineering,115000,United States,Senior,In-person,95100.0
2023,Data Engineering,254000,United States,Senior,In-person,95100.0
2023,Data Engineering,159000,United States,Senior,In-person,95100.0
2023,Data Engineering,170000,United States,Senior,In-person,95100.0
2023,Data Engineering,85000,United States,Senior,In-person,95100.0
2023,Data Science and Research,130500,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,116000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,81400,United States,Entry-level,Remote,95100.0
2023,Data Science and Research,43500,United States,Entry-level,Remote,95100.0
2023,Data Engineering,169000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,92000,United States,Mid-level,In-person,95100.0
2023,Data Analysis,166000,United States,Senior,In-person,95100.0
2023,Data Analysis,73100,United States,Senior,In-person,95100.0
2023,Data Science and Research,190000,United States,Senior,In-person,95100.0
2023,Data Science and Research,165000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,305600,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,146600,United States,Senior,In-person,95100.0
2023,Data Analysis,150000,United States,Senior,In-person,95100.0
2023,Data Analysis,120000,United States,Senior,In-person,95100.0
2023,Data Engineering,275000,United States,Senior,In-person,95100.0
2023,Data Engineering,146400,United States,Senior,In-person,95100.0
2023,Data Science and Research,208500,United States,Senior,In-person,95100.0
2023,Data Science and Research,165000,United States,Senior,In-person,95100.0
2023,Data Science and Research,258700,United States,Senior,In-person,95100.0
2023,Data Science and Research,172500,United States,Senior,In-person,95100.0
2023,Data Engineering,150000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,130000,United States,Mid-level,In-person,95100.0
2023,Data Engineering,185000,United States,Senior,Remote,95100.0
2023,Data Engineering,150000,United States,Senior,Remote,95100.0
2023,Data Analysis,166000,United States,Senior,In-person,95100.0
2023,Data Analysis,73100,United States,Senior,In-person,95100.0
2023,BI and Visualization,198200,United States,Senior,In-person,95100.0
2023,BI and Visualization,110200,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,166000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,73100,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,212000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,93300,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,212000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,93300,United States,Senior,In-person,95100.0
2023,Data Engineering,166000,United States,Senior,In-person,95100.0
2023,Data Engineering,73100,United States,Senior,In-person,95100.0
2023,Data Engineering,167100,United States,Mid-level,In-person,95100.0
2023,Data Engineering,111400,United States,Mid-level,In-person,95100.0
2023,Data Engineering,133000,United States,Senior,In-person,95100.0
2023,Data Engineering,58400,United States,Senior,In-person,95100.0
2023,Data Science and Research,166000,United States,Entry-level,Remote,95100.0
2023,Data Science and Research,73100,United States,Entry-level,Remote,95100.0
2023,Data Analysis,170000,United States,Executive,In-person,95100.0
2023,Data Analysis,145000,United States,Executive,In-person,95100.0
2023,Data Science and Research,212000,United States,Senior,In-person,95100.0
2023,Data Science and Research,93300,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,170000,United States,Senior,Remote,95100.0
2023,Data Architecture and Modeling,135000,United States,Senior,Remote,95100.0
2023,Data Engineering,145000,United States,Senior,In-person,95100.0
2023,Data Engineering,115000,United States,Senior,In-person,95100.0
2023,Data Engineering,139810,United States,Senior,In-person,95100.0
2023,Data Engineering,95325,United States,Senior,In-person,95100.0
2023,Data Science and Research,278700,United States,Senior,In-person,95100.0
2023,Data Science and Research,159300,United States,Senior,In-person,95100.0
2023,Data Engineering,247300,United States,Senior,Remote,95100.0
2023,Data Engineering,139700,United States,Senior,Remote,95100.0
2023,Data Science and Research,188000,United States,Senior,Remote,95100.0
2023,Data Science and Research,139000,United States,Senior,Remote,95100.0
2023,Data Science and Research,150000,United States,Senior,In-person,95100.0
2023,Data Engineering,160000,United States,Senior,In-person,95100.0
2023,Data Engineering,94000,United States,Senior,In-person,95100.0
2023,Leadership and Management,127000,United States,Mid-level,Remote,95100.0
2023,Leadership and Management,65000,United States,Mid-level,Remote,95100.0
2023,Machine Learning and AI,276000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,174000,United States,Senior,In-person,95100.0
2023,Data Science and Research,260000,United States,Senior,In-person,95100.0
2023,Data Science and Research,136000,United States,Senior,In-person,95100.0
2023,Leadership and Management,250000,United States,Executive,Remote,95100.0
2023,Leadership and Management,210000,United States,Executive,Remote,95100.0
2023,Data Science and Research,188000,United States,Senior,Remote,95100.0
2023,Data Science and Research,139000,United States,Senior,Remote,95100.0
2023,Machine Learning and AI,238000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,176000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,204500,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,142200,United States,Senior,In-person,95100.0
2023,Data Science and Research,212000,United States,Executive,In-person,95100.0
2023,Data Science and Research,190000,United States,Executive,In-person,95100.0
2023,Data Science and Research,261500,United States,Senior,In-person,95100.0
2023,Data Science and Research,134500,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,239000,United States,Senior,In-person,95100.0
2023,Data Architecture and Modeling,122900,United States,Senior,In-person,95100.0
2023,Leadership and Management,115000,United States,Senior,In-person,95100.0
2023,Leadership and Management,95000,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,331640,United States,Senior,In-person,95100.0
2023,Machine Learning and AI,267720,United States,Senior,In-person,95100.0
2023,Data Engineering,180000,United States,Senior,In-person,95100.0
2023,Data Engineering,90000,United States,Senior,In-person,95100.0
2023,Data Analysis,83000,United States,Mid-level,Remote,95100.0
2023,Data Analysis,66000,United States,Mid-level,Remote,95100.0
2023,Data Science and Research,224250,United States,Senior,In-person,95100.0
2023,Data Science and Research,121550,United States,Senior,In-person,95100.0
2023,Data Science and Research,166000,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,73100,United States,Mid-level,In-person,95100.0
2023,Data Science and Research,141298,United States,Senior,In-person,95100.0
2023,Data Science and Research,115607,United States,Senior,In-person,95100.0
2023,Data Engineering,109000,United States,Mid-level,Remote,95100.0
2023,Data Engineering,100000,United States,Mid-level,Remote,95100.0
